,Country,City,Latitude,Longitude,Date,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,AR,san luis,-33.295,-66.3356,1647747113,58.98,44,59,11.65
4,AU,new norfolk,-42.7826,147.0587,1647747115,68.92,52,100,1.01
9,AU,busselton,-33.65,115.3333,1647747116,78.8,50,100,7.38
13,AU,carnarvon,-24.8667,113.6333,1647747117,82.47,74,75,12.66
16,MG,sambava,-14.2667,50.1667,1647747118,77.5,88,100,5.41
17,EC,puerto ayora,-0.7393,-90.3518,1647747118,78.33,81,25,4.38
22,CL,punta arenas,-53.15,-70.9167,1647747119,48.31,71,0,11.5
26,ID,srandakan,-7.9386,110.2506,1647747120,85.48,70,90,9.28
28,NZ,mataura,-46.1927,168.8643,1647747121,68.49,45,37,4.18
30,ZA,port elizabeth,-33.918,25.5701,1647747121,69.31,99,100,5.01
37,AR,ushuaia,-54.8,-68.3,1647746895,38.28,87,100,11.1
38,ZA,hermanus,-34.4187,19.2345,1647747123,70.81,89,31,9.51
40,AU,alice springs,-23.7,133.8833,1647747124,92.75,17,0,19.57
43,AU,codrington,-38.2667,141.9667,1647747124,68.77,66,99,10.07
44,AR,buenos aires,-34.6132,-58.3772,1647747125,62.33,61,0,6.91
45,PF,atuona,-9.8,-139.0333,1647747125,78.78,78,11,12.39
49,PF,rikitea,-23.1203,-134.9692,1647747126,80.64,74,26,10.22
52,CL,taltal,-25.4,-70.4833,1647747128,65.48,82,34,1.23
55,CL,lebu,-37.6167,-73.65,1647747128,54.27,72,100,6.44
56,BR,maracas,-13.4411,-40.4308,1647747129,60.94,96,22,3.49
58,AR,mar del plata,-38.0023,-57.5575,1647747129,55.87,65,0,8.05
59,MV,hithadhoo,-0.6,73.0833,1647747129,83.26,73,100,16.42
62,AU,hobart,-42.8794,147.3294,1647746983,69.26,63,75,5.75
63,BR,caravelas,-17.7125,-39.2481,1647747130,73.58,90,0,2.48
64,BR,imbituba,-28.24,-48.6703,1647747131,70.83,89,100,8.48
65,VU,isangel,-19.55,169.2667,1647747131,87.91,74,100,5.75
68,AO,benguela,-12.5763,13.4055,1647747132,76.71,77,100,0.65
70,AU,katherine,-14.4667,132.2667,1647747132,97.12,32,40,8.05
71,CK,avarua,-21.2078,-159.775,1647747132,82.45,74,49,3.44
72,NZ,bluff,-46.6,168.3333,1647747133,68.81,73,56,16.84
73,ID,labuhan,-6.8844,112.2051,1647747133,83.03,72,100,3.91
84,ZA,kruisfontein,-34.0033,24.7314,1647747136,64.89,97,53,2.44
86,ZA,cape town,-33.9258,18.4232,1647746842,68.11,85,0,11.5
87,MU,bambous virieux,-20.3428,57.7575,1647747137,80.22,94,40,3.44
89,PG,lorengau,-2.0226,147.2712,1647747137,86.59,62,55,9.06
95,BR,sao marcos,-28.9711,-51.0681,1647747139,56.52,100,44,3.02
96,MZ,cuamba,-14.8031,36.5372,1647747139,68.18,89,100,6.13
99,AR,necochea,-38.5473,-58.7368,1647747140,49.6,67,54,9.33
101,PG,kavieng,-2.5744,150.7967,1647747140,85.86,67,48,10.8
104,BR,camapua,-19.5314,-54.0439,1647747141,71.02,96,100,4.27
107,ZA,bredasdorp,-34.5322,20.0403,1647747142,69.17,84,59,8.95
109,NC,poum,-20.2333,164.0167,1647747142,79.54,82,100,15.73
112,TO,vaini,-21.2,-175.2,1647747143,82.56,83,100,10.36
113,PF,tautira,-17.7333,-149.15,1647747144,82.53,73,27,15.05
119,BR,guiratinga,-16.3494,-53.7583,1647747145,71.8,90,36,2.33
121,ID,soe,-9.8607,124.284,1647747146,83.3,52,94,3.31
122,NC,vao,-22.6667,167.4833,1647747146,77.4,75,100,9.06
123,ID,katobu,-4.9408,122.5276,1647747146,84.38,76,100,2.66
125,NZ,kaitangata,-46.2817,169.8464,1647747148,62.04,68,56,11.39
126,PE,huasahuasi,-11.3167,-75.6167,1647747148,40.44,92,100,1.88
127,BR,castro,-24.7911,-50.0119,1647747148,62.82,95,99,7.02
132,BR,cidreira,-30.1811,-50.2056,1647747149,65.62,84,40,7.05
136,AU,mount isa,-20.7333,139.5,1647747151,94.77,18,100,3.44
138,MU,grand gaube,-20.0064,57.6608,1647747151,80.38,87,31,3.29
139,ZM,mbala,-8.8402,31.3659,1647747151,60.82,94,100,7.14
144,ID,bengkulu,-3.8004,102.2655,1647747040,83.89,64,97,4.68
145,PF,mahina,-17.5065,-149.489,1647747153,87.57,62,20,6.91
147,NA,walvis bay,-22.9575,14.5053,1647747153,60.1,100,44,4.61
153,ID,bambanglipuro,-7.95,110.2833,1647747155,85.24,70,91,9.57
159,MU,cap malheureux,-19.9842,57.6142,1647747157,80.47,87,35,3.6
160,ID,padang,-0.9492,100.3543,1647747000,80.65,67,100,2.89
167,SB,kirakira,-10.4544,161.9205,1647747160,85.12,70,99,8.5
176,ZA,port alfred,-33.5906,26.891,1647747162,70.61,86,16,3.98
178,AU,geraldton,-28.7667,114.6,1647747163,79.21,61,76,16.11
180,PG,port moresby,-9.4431,147.1797,1647747163,89.02,66,40,13.8
184,ID,japura,-0.3167,102.35,1647747164,86.52,66,100,4.03
186,AO,namibe,-15.1961,12.1522,1647747165,73.87,73,80,8.19
187,BR,araci,-11.3333,-38.9667,1647747165,70.88,92,1,3.6
192,BR,tamandare,-8.7597,-35.1047,1647747166,77.74,83,8,4.92
196,AU,byron bay,-28.65,153.6167,1647747167,78.94,62,45,14.58
198,BR,carlos chagas,-17.7031,-40.7664,1647747169,69.89,94,23,1.99
199,ID,kanigoro,-8.13,112.219,1647747169,84.81,72,94,8.08
200,ZA,east london,-33.0153,27.9116,1647747169,65.34,94,0,4.61
203,NZ,waiuku,-37.25,174.75,1647747170,69.46,94,100,13.0
204,PF,faanui,-16.4833,-151.75,1647747170,82.72,74,23,15.86
205,AU,karratha,-20.7377,116.8463,1647747055,95.07,39,24,5.53
210,BR,sao joao da barra,-21.6403,-41.0511,1647747172,77.25,85,50,12.26
212,MU,mahebourg,-20.4081,57.7,1647747172,80.26,94,40,3.44
214,MW,chitipa,-9.7024,33.2697,1647747173,61.86,97,100,1.12
216,GA,gamba,-2.65,10.0,1647747173,77.49,87,78,5.59
219,BR,porto murtinho,-21.6989,-57.8825,1647747174,68.58,90,45,4.25
221,TL,airai,-8.9266,125.4092,1647747175,76.93,51,60,0.76
222,BR,humberto de campos,-2.5983,-43.4611,1647747175,74.16,91,98,1.63
224,NZ,rakaia,-43.75,172.0167,1647747175,69.22,56,66,9.93
227,BR,lajedo,-8.6636,-36.32,1647747176,67.5,98,36,4.09
231,UY,rocha,-34.4833,-54.3333,1647747177,56.25,68,53,3.67
239,BR,piacabucu,-10.4056,-36.4344,1647747180,77.27,81,7,4.16
240,AU,esperance,-33.8667,121.9,1647747035,73.24,58,99,8.1
242,AU,launceston,-41.45,147.1667,1647747001,74.16,56,75,8.05
244,BR,arraial do cabo,-22.9661,-42.0278,1647747182,76.3,89,28,16.82
245,AU,broken hill,-31.95,141.4333,1647747182,89.31,25,16,5.75
257,CG,owando,-0.4819,15.8999,1647747185,72.3,88,87,2.77
260,ZA,saldanha,-33.0117,17.9442,1647747186,66.25,86,32,8.43
263,AO,luanda,-8.8368,13.2343,1647747187,78.8,83,40,4.61
274,ZM,mpongwe,-13.5091,28.155,1647747189,61.36,94,93,6.51
276,AU,mandurah,-32.55,115.7,1647747059,74.41,61,100,13.62
278,ID,kaili,-3.4626,120.2147,1647747190,77.11,76,100,3.15
280,AU,mount gambier,-37.8333,140.7667,1647747191,69.71,60,100,13.8
287,ZA,ellisras,-23.6649,27.7443,1647747193,59.07,72,12,4.0
289,BR,sao raimundo das mangabeiras,-7.0219,-45.4811,1647747193,71.91,92,35,2.26
290,BR,salinopolis,-0.6136,-47.3561,1647747193,75.74,91,100,3.74
291,RE,saint-philippe,-21.3585,55.7679,1647747194,76.59,90,88,12.17
295,NZ,ahipara,-35.1667,173.1667,1647747195,67.44,94,99,16.6
304,BR,uarini,-2.99,-65.1083,1647747198,72.88,99,100,1.43
307,CL,constitucion,-35.3333,-72.4167,1647747199,58.21,53,100,8.95
309,AU,yulara,-25.2406,130.9889,1647747199,96.64,16,0,14.97
310,BR,baiao,-2.7906,-49.6717,1647747199,71.89,98,100,2.21
312,UY,chuy,-33.6971,-53.4616,1647747200,55.0,69,36,5.57
321,ID,pringsewu,-5.3582,104.9744,1647747202,88.83,56,85,4.83
322,AU,port hedland,-20.3167,118.5667,1647747202,98.65,34,43,5.75
329,NZ,te anau,-45.4167,167.7167,1647747071,68.02,49,62,1.9
332,BR,santa maria,-29.6842,-53.8069,1647747206,60.1,82,75,5.75
334,PG,mendi,-6.1761,143.6513,1647747206,66.69,83,95,4.21
335,NZ,tuatapere,-46.1333,167.6833,1647747207,66.6,55,36,5.37
337,GA,mayumba,-3.432,10.6554,1647747207,78.08,86,92,4.7
338,ID,poso,-1.3959,120.7524,1647747208,86.47,60,100,3.06
341,PE,chimbote,-9.0853,-78.5783,1647747208,69.94,82,100,6.04
343,MG,ambilobe,-13.2,49.05,1647747210,76.55,94,100,0.18
346,ZA,port shepstone,-30.7414,30.455,1647747210,70.68,78,96,5.1
347,CL,ancud,-41.8697,-73.8203,1647747211,56.23,71,100,4.32
349,BR,itarema,-2.9248,-39.9167,1647747211,77.07,83,59,5.84
352,CL,coihaique,-45.5752,-72.0662,1647747212,54.21,76,100,1.14
360,AR,rio gallegos,-51.6226,-69.2181,1647747214,51.85,62,0,27.63
362,BR,vila velha,-20.3297,-40.2925,1647747215,76.95,92,0,3.44
378,ZA,plettenberg bay,-34.0527,23.3716,1647747219,67.91,95,83,2.75
379,NC,moindou,-21.6924,165.677,1647747219,79.68,78,100,10.02
386,NA,luderitz,-26.6481,15.1594,1647747221,74.79,63,0,6.64
399,BR,sao domingos do maranhao,-5.5758,-44.3853,1647747224,70.7,99,80,2.84
401,ZW,mutoko,-17.397,32.2268,1647747224,59.85,88,100,0.92
405,BW,shakawe,-18.3667,21.85,1647747225,66.16,96,100,4.29
406,PE,yurimaguas,-5.9,-76.0833,1647747226,72.5,99,100,2.01
407,ID,manokwari,-0.8667,134.0833,1647746987,84.79,70,35,8.19
416,NZ,waipawa,-41.4122,175.5153,1647747228,62.89,67,97,13.04
418,ZA,louis trichardt,-23.0439,29.9032,1647747229,54.32,97,27,5.08
422,GA,omboue,-1.5746,9.2618,1647747230,77.47,88,83,5.75
423,ID,galesong,-5.3166,119.3661,1647747231,84.22,74,97,6.53
426,MG,farafangana,-22.8167,47.8333,1647747231,72.32,78,76,6.26
427,ID,kawalu,-7.3817,108.2082,1647747232,85.59,63,99,3.22
428,PE,otuzco,-7.9,-78.5833,1647747232,50.36,86,100,2.73
432,AU,mackay,-21.15,149.2,1647747233,87.67,65,83,18.41
436,CD,kalemie,-5.9475,29.1947,1647747234,70.72,88,92,3.49
439,PE,chicama,-7.8447,-79.1469,1647747235,63.14,74,100,5.37
447,MU,souillac,-20.5167,57.5167,1647747237,75.58,94,40,3.44
448,ZA,richards bay,-28.783,32.0377,1647747062,65.25,81,79,4.16
474,AR,comodoro rivadavia,-45.8667,-67.5,1647747245,49.86,57,0,6.91
481,RE,saint-joseph,-21.3667,55.6167,1647747247,75.58,90,90,12.15
482,NZ,opotiki,-38.0833,177.2833,1647747247,70.39,63,96,11.03
486,AU,port lincoln,-34.7333,135.8667,1647747248,71.6,63,78,9.89
487,PG,samarai,-10.6167,150.6667,1647747248,87.89,66,67,11.65
488,PE,barranca,-10.75,-77.7667,1647747249,70.05,78,100,6.49
489,ID,sampit,-2.5333,112.95,1647747249,91.27,52,95,3.6
492,ZM,sesheke,-17.4759,24.2968,1647747251,63.73,97,88,4.61
495,BR,touros,-5.1989,-35.4608,1647747251,77.97,84,99,9.19
497,BR,mineiros,-17.5694,-52.5511,1647747252,68.67,88,12,0.47
506,ID,polewali,-3.4324,119.3435,1647747255,82.29,75,100,1.88
508,ZA,vryburg,-26.9566,24.7284,1647747255,61.02,87,100,5.68
512,PE,chachapoyas,-6.2317,-77.869,1647747257,52.38,93,100,0.85
513,TZ,micheweni,-4.9667,39.8333,1647747257,78.73,80,28,2.28
518,AU,alyangula,-13.8483,136.4192,1647747061,94.87,59,40,10.36
519,CL,la serena,-29.9078,-71.2542,1647747259,60.31,94,100,3.44
520,NU,alofi,-19.0595,-169.9187,1647747259,85.89,62,91,8.05
522,ZW,zvishavane,-20.3267,30.0665,1647747260,56.93,81,39,4.21
523,PG,namatanai,-3.6667,152.4333,1647747260,85.89,59,35,8.84
524,EC,palora,-1.7,-77.9333,1647747260,65.61,98,100,1.54
525,BR,carinhanha,-14.3047,-43.765,1647747260,75.07,55,87,2.53
530,SB,honiara,-9.4333,159.95,1647747262,86.32,68,62,6.2
532,MU,quatre cocos,-20.2078,57.7625,1647747262,81.09,80,37,1.86
533,ZW,chipinge,-20.1883,32.6236,1647747262,54.48,95,35,2.64
542,BO,santa cruz,-17.8,-63.1667,1647747265,67.46,88,75,14.97
545,BR,cururupu,-1.8283,-44.8683,1647747265,71.73,97,100,1.52
547,AU,dubbo,-32.25,148.6167,1647747266,82.53,39,0,8.05
553,BR,paragominas,-2.9667,-47.4833,1647747267,70.18,99,97,1.68
556,BR,chapada dos guimaraes,-15.4606,-55.7497,1647747268,67.66,91,39,1.63
561,MZ,inhambane,-23.865,35.3833,1647747270,74.03,60,99,8.57
564,AU,victor harbor,-35.5667,138.6167,1647747271,68.0,77,94,9.73
